grid_id,lat_grid,lon_grid,osm_feature_count,osm_industrial_count,osm_power_count,osm_manmade_count,osm_min_distance_m
23.75_85.25,23.75,85.25,0,0,0,0,2000.0
23.75_85.26,23.75,85.26,0,0,0,0,2000.0
23.75_85.27,23.75,85.27,0,0,0,0,2000.0
23.75_85.3,23.75,85.3,0,0,0,0,2000.0
23.75_85.31,23.75,85.31,0,0,0,0,2000.0
23.75_85.32,23.75,85.32000000000001,0,0,0,0,2000.0
23.75_85.33,23.75,85.33,0,0,0,0,2000.0
23.75_85.42,23.75,85.42,0,0,0,0,2000.0
23.75_85.47,23.75,85.47,0,0,0,0,2000.0
23.75_85.48,23.75,85.48,5,0,0,5,1456.3014441929517
23.76_85.31,23.76,85.31,0,0,0,0,2000.0
23.76_85.32,23.76,85.32000000000001,0,0,0,0,2000.0
23.76_85.33,23.76,85.33,0,0,0,0,2000.0
23.76_85.49,23.76,85.49,10,2,0,9,882.6701875424292
23.77_85.25,23.77,85.25,0,0,0,0,2000.0
23.77_85.26,23.77,85.26,0,0,0,0,2000.0
23.77_85.29,23.77,85.29,0,0,0,0,2000.0
23.77_85.3,23.77,85.3,0,0,0,0,2000.0
23.77_85.31,23.77,85.31,0,0,0,0,2000.0
23.77_85.35,23.77,85.35000000000001,0,0,0,0,2000.0
23.77_85.39,23.77,85.39,0,0,0,0,2000.0
23.77_85.42,23.77,85.42,0,0,0,0,2000.0
23.77_85.45,23.77,85.45,0,0,0,0,2000.0
23.77_85.47,23.77,85.47,4,0,0,4,1478.5142789149813
23.77_85.48,23.77,85.48,4,0,0,4,630.7806686738973
23.77_85.49,23.77,85.49,9,2,0,8,771.673161461947
23.78_85.32,23.78,85.32000000000001,0,0,0,0,2000.0
23.78_85.35,23.78,85.35000000000001,0,0,0,0,2000.0
23.78_85.36,23.78,85.36,0,0,0,0,2000.0
23.78_85.37,23.78,85.37,0,0,0,0,2000.0
23.78_85.38,23.78,85.38,0,0,0,0,2000.0
23.78_85.39,23.78,85.39,0,0,0,0,2000.0
